I,T,t,l,w,Itime,Otime,Dtime,Mtime,tag#,subtag#,orepeat#,relabel#,maxtag#,morepeat#
10000000,2,23,0,24,3155.214911,3.081253,17.111102,4169.817954,99024410,19999976,0,357142,713076,0
10000000,2,20,1,24,297.874972,44.154463,74.403872,524.773431,0,10000000,0,0,0,0
10000000,2,21,1,24,302.630198,32.000076,58.445231,480.578475,125166,11752324,0,62583,0,0
10000000,2,22,1,24,380.804492,1.687233,51.338594,471.354413,6282870,19990652,0,356809,2485,0
10000000,2,23,1,24,5671.700895,2.559811,43.713863,6685.774418,99024410,19999976,0,357142,713076,0
10000000,2,20,0,32,215.793720,38.514647,67.204108,511.146364,0,10000000,0,0,0,0
10000000,2,21,0,32,256.413408,26.324950,49.187729,502.169064,125076,11751064,0,62538,0,0
10000000,2,22,0,32,422.207823,1.327438,40.837477,436.763072,6303148,19990960,0,356820,3780,0
10000000,2,23,0,32,3363.044088,2.425895,15.212188,4253.996535,99024410,19999976,0,357142,713076,0
10000000,2,20,1,32,298.039084,38.213393,65.369518,513.288705,0,10000000,0,0,0,0
10000000,2,21,1,32,303.289160,24.879337,47.357158,482.938140,124776,11746864,0,62388,0,0
10000000,2,22,1,32,397.731074,1.340528,42.576402,439.631646,6347910,19991352,0,356834,3780,0
10000000,2,23,1,32,5797.201406,2.172864,30.958829,7066.448319,99024410,19999976,0,357142,713076,0
10000000,2,20,0,40,222.439746,37.751762,65.754872,529.233179,0,10000000,0,0,0,0
10000000,2,21,0,40,293.422235,23.321958,47.780505,520.323302,124688,11745632,0,62344,0,0
10000000,2,22,0,40,454.161861,1.180861,43.502590,411.110140,6308219,19990960,0,356820,2485,0
10000000,2,23,0,40,3409.440145,1.855780,13.576437,4398.128940,99024410,19999976,0,357142,713076,0
10000000,2,20,1,40,304.861394,37.780443,61.274248,543.241602,0,10000000,0,0,0,0
10000000,2,21,1,40,307.227024,21.856404,42.877113,506.882950,124712,11745968,0,62356,0,0
10000000,2,22,1,40,433.124303,1.439562,39.734347,421.849714,6316275,19991044,0,356823,2485,0
10000000,2,23,1,40,6430.983523,1.866171,27.486237,7351.456513,99024410,19999976,0,357142,713076,0
10000000,2,20,0,48,217.313684,37.306801,63.880949,549.881623,0,10000000,0,0,0,0
10000000,2,21,0,48,308.604935,19.872788,47.214429,529.135826,125038,11750532,0,62519,0,0
10000000,2,22,0,48,480.525797,1.318347,40.846973,408.111689,6315309,19990904,0,356818,2485,0
10000000,2,23,0,48,3596.682035,1.685733,13.492033,4572.911372,99024410,19999976,0,357142,713076,0
10000000,2,20,1,48,307.084024,37.315601,58.860310,547.787952,0,10000000,0,0,0,0
10000000,2,21,1,48,309.406283,20.765956,40.771759,479.972653,124816,11747424,0,62408,0,0
10000000,2,22,1,48,462.478407,1.158610,37.430455,410.876920,6332904,19991100,0,356825,3780,0
10000000,2,23,1,48,6566.539165,1.560938,22.334953,7986.575478,99024410,19999976,0,357142,713076,0
10000000,2,20,0,56,218.262124,37.654255,62.415232,542.185844,0,10000000,0,0,0,0
10000000,2,21,0,56,326.764202,18.885675,46.958415,529.096528,124946,11749244,0,62473,0,0
10000000,2,22,0,56,500.817458,1.074486,42.643359,398.923844,6311099,19990932,0,356819,3780,0
10000000,2,23,0,56,3707.744651,0.905039,12.185416,4628.291821,99024410,19999976,0,357142,713076,0
10000000,2,20,1,56,308.465149,37.479055,57.090841,541.500405,0,10000000,0,0,0,0
10000000,2,21,1,56,311.565371,22.223368,39.779165,481.235785,124684,11745576,0,62342,0,0
10000000,2,22,1,56,469.751369,1.000043,36.554965,399.579024,6275972,19990372,0,356799,2485,0
10000000,2,23,1,56,6673.335251,1.479444,19.229558,8052.080542,99024410,19999976,0,357142,713076,0
10000000,2,20,0,64,224.198920,38.169864,61.455638,545.720912,0,10000000,0,0,0,0
10000000,2,21,0,64,315.307494,19.120524,46.633290,530.416962,124112,11737568,0,62056,0,0
10000000,2,22,0,64,508.069518,0.963432,42.774492,474.592074,6274502,19990680,0,356810,2485,0
10000000,2,23,0,64,3608.417786,1.101548,12.118502,4709.615227,99024410,19999976,0,357142,713076,0
10000000,2,20,1,64,312.382943,37.929494,56.075945,546.619451,0,10000000,0,0,0,0
10000000,2,21,1,64,316.194447,23.035853,39.150516,516.495932,125604,11758456,0,62802,0,0
10000000,2,22,1,64,479.573471,1.033574,35.881084,465.932113,6292270,19990764,0,356813,3780,0
10000000,2,23,1,64,6811.445275,1.207252,18.206014,8237.364261,99024410,19999976,0,357142,713076,0
10000000,2,20,0,128,185.980675,38.535918,64.703625,381.192908,0,10000000,0,0,0,0
10000000,2,21,0,128,266.598364,21.714385,49.335393,327.745406,125044,11750616,0,62522,0,0
10000000,2,22,0,128,318.173454,1.403371,43.531494,288.211874,6295072,19990736,0,356812,2485,0
10000000,2,23,0,128,4576.596230,1.800528,12.565201,6233.268236,99024410,19999976,0,357142,713076,0
10000000,2,20,1,128,261.692369,39.333402,56.294682,329.453763,0,10000000,0,0,0,0
10000000,2,21,1,128,264.075931,25.546120,40.276383,282.219811,125132,11751848,0,62566,0,0
10000000,2,22,1,128,290.829741,1.569447,32.860864,315.670160,6323064,19991044,0,356823,2485,0
10000000,2,23,1,128,6763.240180,1.877740,15.459165,8615.034985,99024410,19999976,0,357142,713076,0
